"rank","source_city","source_country","source_lat","source_lon","target_city","target_country","target_lat","target_lon","target_region"
54,"054. Sao Paulo","Brazil",-23.4355564117432,-46.4730567932129,"Dourados","Brazil",-22.2019,-54.926601,"S. America"
54,"054. Sao Paulo","Brazil",-23.4355564117432,-46.4730567932129,"Ribeirao Preto","Brazil",-21.1363887786865,-47.776668548584,"S. America"
54,"054. Sao Paulo","Brazil",-23.4355564117432,-46.4730567932129,"Uberaba","Brazil",-19.764722824097,-47.966110229492,"S. America"
54,"054. Sao Paulo","Brazil",-23.4355564117432,-46.4730567932129,"Uberlandia","Brazil",-18.8836116790771,-48.2252769470215,"S. America"
54,"054. Sao Paulo","Brazil",-23.4355564117432,-46.4730567932129,"Vitória Da Conquista","Brazil",-14.8627996445,-40.8630981445,"S. America"
4,"004. Chicago","United States",41.7859992980957,-87.7524032592773,"Burlington","United States",44.4719009399,-73.1532974243,"N. America"
4,"004. Chicago","United States",41.7859992980957,-87.7524032592773,"Decatur","United States",39.8345985412598,-88.8656997680664,"N. America"
20,"020. Barcelona","Spain",41.297100067139,2.0784599781036,"Banjul","Gambia",13.3380002975464,-16.6522006988525,"W. Africa"
1,"001. London","United Kingdom",51.874698638916,-0.368333011865616,"Freetown","Sierra Leone",8.61643981933594,-13.1955003738403,"W. Africa"
75,"075. Montreal","Canada",45.5175018311,-73.4169006348,"La Grande Riviere","Canada",53.625301361084,-77.7042007446289,"N. America"
75,"075. Montreal","Canada",45.5175018311,-73.4169006348,"Kuujjuarapik","Canada",55.2818984985352,-77.7652969360352,"N. America"
75,"075. Montreal","Canada",45.5175018311,-73.4169006348,"Quebec","Canada",46.7911,-71.393303,"N. America"
75,"075. Montreal","Canada",45.5175018311,-73.4169006348,"Rouyn","Canada",48.2061004638672,-78.8356018066406,"N. America"
97,"097. Nairobi","Kenya",-1.32172000408173,36.8148002624512,"Mogadishu","Somalia",2.01444005966187,45.3046989440918,"E. Africa"
18,"018. Bangkok","Thailand",13.9125995636,100.607002258,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
47,"047. Hangzhou","China",30.2294998168945,120.43399810791,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
25,"025. Hong Kong","Hong Kong",22.3089008331,113.915000916,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
70,"070. Osaka","Japan",34.7854995727539,135.438003540039,"Manila","Philippines",14.5086,121.019997,"S.E. Asia"
70,"070. Osaka","Japan",34.7854995727539,135.438003540039,"Taipei","Taiwan",25.0694007873535,121.552001953125,"E. Asia"
39,"039. Kuala Lumpur","Malaysia",2.745579957962,101.70999908447,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
69,"069. Manila","Philippines",14.5086,121.019997,"Osaka","Japan",34.7854995727539,135.438003540039,"E. Asia"
69,"069. Manila","Philippines",14.5086,121.019997,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Bangkok","Thailand",13.9125995636,100.607002258,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Darwin","Australia",-12.4146995544434,130.876998901367,"Aus. & N.Z."
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Haikou","China",19.9349002838135,110.458999633789,"E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Hangzhou","China",30.2294998168945,120.43399810791,"E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Hong Kong","Hong Kong",22.3089008331,113.915000916,"E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Phuket","Thailand",8.11320018768,98.3169021606,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Kuala Lumpur","Malaysia",2.745579957962,101.70999908447,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Manila","Philippines",14.5086,121.019997,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Penang","Malaysia",5.29714012145996,100.277000427246,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Perth","Australia",-32.0974998474121,115.880996704102,"Aus. & N.Z."
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Phnom-penh","Cambodia",11.5466003417969,104.84400177002,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Siem-reap","Cambodia",13.4106998444,103.81300354,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Yangon","Burma",16.9073009491,96.1332015991,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Ho Chi Minh City","Vietnam",10.8187999725,106.652000427,"S.E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Shantou","China",23.552,116.5033,"E. Asia"
16,"016. Singapore","Singapore",1.4169499874115,103.86799621582,"Taipei","Taiwan",25.0694007873535,121.552001953125,"E. Asia"
34,"034. Taipei","Taiwan",25.0694007873535,121.552001953125,"Osaka","Japan",34.7854995727539,135.438003540039,"E. Asia"
34,"034. Taipei","Taiwan",25.0694007873535,121.552001953125,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
38,"038. Duesseldorf","Germany",51.2895011901855,6.76677989959717,"Friedrichshafen","Germany",47.6712989807,9.51148986816,"W. Europe"
86,"086. Hamburg","Germany",53.630401611328,9.9882297515869,"Friedrichshafen","Germany",47.6712989807,9.51148986816,"W. Europe"
23,"023. Munich","Germany",48.353801727295,11.786100387573,"Marina Di Campo","Italy",42.7603,10.2394,"S. Europe"
36,"036. Berlin","Germany",52.380001068115,13.522500038147,"Friedrichshafen","Germany",47.6712989807,9.51148986816,"W. Europe"
51,"051. Zurich","Switzerland",47.464698791504,8.5491695404053,"Dresden","Germany",51.1328010559082,13.7672004699707,"W. Europe"
51,"051. Zurich","Switzerland",47.464698791504,8.5491695404053,"Marina Di Campo","Italy",42.7603,10.2394,"S. Europe"
51,"051. Zurich","Switzerland",47.464698791504,8.5491695404053,"Graz","Austria",46.9911003112793,15.4395999908447,"W. Europe"
51,"051. Zurich","Switzerland",47.464698791504,8.5491695404053,"Salzburg","Austria",47.7933006287,13.0043001175,"W. Europe"
2,"002. Atlanta","United States",33.6366996765137,-84.4281005859375,"Lewisburg","United States",37.8582992554,-80.3994979858,"N. America"
2,"002. Atlanta","United States",33.6366996765137,-84.4281005859375,"Macon","United States",45.1267013549805,-87.6383972167969,"N. America"
2,"002. Atlanta","United States",33.6366996765137,-84.4281005859375,"Meridian","United States",32.3325996398926,-88.7518997192383,"N. America"
2,"002. Atlanta","United States",33.6366996765137,-84.4281005859375,"Muscle Shoals","United States",34.74530029,-87.61019897,"N. America"
2,"002. Atlanta","United States",33.6366996765137,-84.4281005859375,"Hattiesburg/Laurel","United States",31.4671001434326,-89.3370971679688,"N. America"
2,"002. Atlanta","United States",33.6366996765137,-84.4281005859375,"Tupelo","United States",34.2681007385254,-88.7698974609375,"N. America"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"Alice Town","Bahamas",25.6998996735,-79.2647018433,"Caribbean"
76,"076. Fort Lauderdale","United States",26.1972999573,-80.1707000732,"North Eleuthera","Bahamas",25.474899292,-76.6835021973,"Caribbean"
