"source_city","source_country","source_lat","source_lon","target_city","target_country","target_lat","target_lon","target_region"
"Shanghai","China",31.1979007720947,121.335998535156,"Manila","Philippines",14.5086,121.019997,"S.E. Asia"
"Moscow","Russia",55.972599,37.4146,"Arkhangelsk","Russia",64.6003036499023,40.7167015075684,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Murmansk","Russia",68.7817001342773,32.7508010864258,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Syktyvkar","Russia",61.6469993591309,50.845100402832,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Krasnodar","Russia",45.034698486328,39.170501708984,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"St. Petersburg","Russia",59.8003005981445,30.2625007629395,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Mirnyj","Russia",62.5346984863281,114.039001464844,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Yakutia","Russia",66.4003982544,112.029998779,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Saratov","Russia",51.564998626709,46.0466995239258,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Dushanbe","Tajikistan",38.5433006287,68.8249969482,"C. Asia"
"Moscow","Russia",55.972599,37.4146,"Khudzhand","Tajikistan",40.2154006958008,69.6947021484375,"C. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Dushanbe","Tajikistan",38.5433006287,68.8249969482,"C. Asia"
"Moscow","Russia",55.972599,37.4146,"Aktyubinsk","Kazakhstan",50.2458000183105,57.2066993713379,"C. Asia"
"Moscow","Russia",55.972599,37.4146,"Cheboksary","Russia",56.0903015136719,47.3473014831543,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Belgorod","Russia",50.643798828125,36.5900993347168,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Elista","Russia",46.3739013671875,44.3308982849121,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Grozny","Russia",43.2980995178223,45.7840995788574,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Izhevsk","Russia",56.8280982971191,53.4575004577637,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Makhachkala","Russia",42.8167991638184,47.6523017883301,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Petrozavodsk","Russia",61.8852005004883,34.1547012329102,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Penza","Russia",53.1105995178223,45.0210990905762,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Saransk","Russia",54.125129699707,45.2122573852539,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Ulyanovsk","Russia",54.4010009765625,48.8027000427246,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Vorkuta","Russia",67.4886016845703,63.9930992126465,"E. Europe"
"Moscow","Russia",55.972599,37.4146,"Voronezh","Russia",51.8142013549805,39.2295989990234,"E. Europe"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Mineralnye Vody","Russia",44.2251014709473,43.081901550293,"E. Europe"
"Beijing","China",40.0801010131836,116.584999084473,"Kunming","China",25.1019444,102.9291667,"E. Asia"
"Beijing","China",40.0801010131836,116.584999084473,"Luxi","China",24.4011,98.5317,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Hefei","China",31.7800006866455,117.297996520996,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Kunming","China",25.1019444,102.9291667,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Yichun","China",27.8025,114.3062,"E. Asia"
"Paris","France",48.9693984985352,2.44139003753662,"Istanbul","Turkey",40.9768981934,28.8145999908,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Adana","Turkey",36.9822006226,35.2803993225,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Izmir","Turkey",38.2924003601,27.156999588,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Antalya","Turkey",36.898701,30.800501,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Bodrum","Turkey",37.1400985717773,27.6697006225586,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Paris","France",48.9693984985352,2.44139003753662,"W. Europe"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Diyabakir","Turkey",37.893901825,40.2010002136,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Dalaman","Turkey",36.7131004333,28.7924995422,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Nicosia","Cyprus",35.1547012329102,33.4961013793945,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Erzurum","Turkey",39.9565010071,41.1702003479,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Elazig","Turkey",38.6068992615,39.2914009094,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Sanliurfa","Turkey",37.0942993164062,38.8470993041992,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Alanya","Turkey",36.2992172241,32.3005981445,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Gaziantep","Turkey",36.9472007751,37.4786987305,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Malatya","Turkey",38.353699,38.253899,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Odessa","Ukraine",46.4267997741699,30.6765003204346,"E. Europe"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Trabzon","Turkey",40.9950981140137,39.7896995544434,"W. Asia"
"Moscow","Russia",55.972599,37.4146,"Antalya","Turkey",36.898701,30.800501,"W. Asia"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Benghazi","Libya",32.0968017578,20.2695007324,"N. Africa"
"Istanbul","Turkey",40.9768981934,28.8145999908,"Tripoli","Libya",32.6635017395,13.1590003967,"N. Africa"
"Shanghai","China",31.1979007720947,121.335998535156,"Kota Kinabalu","Malaysia",5.93721008300781,116.051002502441,"S.E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Bangkok","Thailand",13.9125995636,100.607002258,"S.E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Changchun","China",43.9962005615,125.684997559,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Cheju","South Korea",33.5112991333008,126.49299621582,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Chongqing","China",29.7192001342773,106.641998291016,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Chiang Mai","Thailand",18.7667999268,98.962600708,"S.E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Dalian","China",38.9656982421875,121.539001464844,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Dayong","China",29.1028,110.443001,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Hong Kong","Hong Kong",22.3089008331,113.915000916,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Phuket","Thailand",8.11320018768,98.3169021606,"S.E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Harbin","China",45.6234016418457,126.25,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Ibaraki","Japan",36.181098938,140.414993286,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Kaohsiung","Taiwan",22.5771007537842,120.349998474121,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Osaka","Japan",34.7854995727539,135.438003540039,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Guilin","China",25.2180995941162,110.039001464844,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Macau","Macau",22.1495990753174,113.592002868652,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Nanning","China",22.6082992553711,108.171997070312,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Siem-reap","Cambodia",13.4106998444,103.81300354,"S.E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Shenyang","China",41.6398010253906,123.483001708984,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Singapore","Singapore",1.4169499874115,103.86799621582,"S.E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Sanya","China",18.3029003143311,109.412002563477,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Takamatsu","Japan",34.2141990662,134.01600647,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Qingdao","China",36.2661018372,120.374000549,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Taipei","Taiwan",25.0694007873535,121.552001953125,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Xiamen","China",24.5440006256104,118.127998352051,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Zhanjiang","China",21.214399,110.358002,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Guangzhou","China",23.3924007415771,113.299003601074,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Changde","China",28.9188995361,111.63999939,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Chongqing","China",29.7192001342773,106.641998291016,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Changcha","China",28.1891994476,113.220001221,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Chengdu","China",30.5785007476807,103.946998596191,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Quanzhou","China",24.7964,118.589996,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Kunming","China",25.1019444,102.9291667,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Guiyang","China",26.5384998321533,106.801002502441,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Lanzhou","China",36.5152015686,103.620002747,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Shijiazhuang","China",38.2807006835938,114.696998596191,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Shantou","China",23.552,116.5033,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Sanya","China",18.3029003143311,109.412002563477,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Shenzhen","China",22.6392993927002,113.810997009277,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Qingdao","China",36.2661018372,120.374000549,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Urumqi","China",43.9071006774902,87.4741973876953,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Xi'an","China",34.4471015930176,108.751998901367,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Xiamen","China",24.5440006256104,118.127998352051,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Zhuhai","China",22.006399,113.375999,"E. Asia"
"Shanghai","China",31.1979007720947,121.335998535156,"Zunyi","China",27.5895,107.0007,"E. Asia"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Kalamazoo","United States",42.2349014282227,-85.5521011352539,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Chattanooga","United States",35.0353012084961,-85.2037963867188,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Cedar Rapids","United States",41.8847007751465,-91.7108001708984,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Charleston","United States",32.89860153,-80.04049683,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Cincinnati","United States",39.0488014221,-84.6678009033,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Evansville","United States",38.0369987488,-87.5324020386,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Fort Wayne","United States",40.97850037,-85.19509888,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Greensboro","United States",36.0978012084961,-79.9373016357422,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Greenville","United States",34.8956985474,-82.2189025879,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Lansing","United States",42.7787017822266,-84.58740234375,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Lexington KY","United States",38.0364990234375,-84.6059036254883,"N. America"
"Atlanta","United States",33.6366996765137,-84.4281005859375,"Saginaw","United States",43.532901763916,-84.0795974731445,"N. America"
